"","round","ss","index","score","size"
"1",1,0.5,1000,0.470321,17.33156
"2",1,0.75,992,0.46861,19.799216
"3",1,1,1000,0.468397,21.045032
"4",2,0.5,999,0.457595,17.313056
"5",2,0.75,999,0.455797,19.491704
"6",2,1,998,0.454986,20.843792
"7",3,0.5,1000,0.46402,17.164232
"8",3,0.75,1000,0.462579,19.536632
"9",3,1,1000,0.46246,20.93408
"10",4,0.5,998,0.461829,17.386064
"11",4,0.75,1000,0.459453,19.589624
"12",4,1,998,0.458077,21.004928
"13",5,0.5,996,0.459828,17.016992
"14",5,0.75,994,0.457907,19.79936
"15",5,1,992,0.456928,20.742416
